,CatalogProfile,FeatureName,InspPointName,NWT,MAWT,FirstWT,LastWt,MeasCrRate,Allowable-Stress-Value,Corrosion-Allowance,Design-Code,Design-Pressure,Design-Temperature,Material-Specification,Material-Type,NominalOutsideDiameter,Nominal-Wall-Thickness,Operating-Pressure,Operating-Temperature,Quality-Factor,Kavg,MassButane,MassCOTwo,MassEthane,MassiButane,MassiPentane,MassMethane,MassnHeptane,MassNitrogen,MassPentane,MassPropane,MassWater,MWButane,MWCOTwo,MWEthane,MWiButane,MWiPentane,MWMethane,MWnHeptane,MWNITROGEN,MWPentane,MWPropane,MWWater,Matcat,Mattyp,SumofMass,SumofMW,Volumeofrelease
0,3,1,101,17.12,0.36,12.99,12.9,0.01,115142.44,6.0,0,1030.0,121.0,2,1,100.0,17.12,482.75,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,0,3,2932.967,29.329836,5.044
46,3,19,108,25.4,1.51,26.8,25.66,0.285,151684.65,3.0,3,8960.0,93.33,21,2,50.0,25.4,4309.22,25.56,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,0,3,2380.468,23.805566,13.799
100,3,4,103,15.24,0.1,14.69,14.6,0.01,117900.34,6.0,2,414.0,121.0,19,2,80.0,15.24,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,0,3,29.032,0.289755,0.641
101,3,11,104,14.27,0.25,13.49,13.4,0.057,117900.34,6.0,2,414.0,121.0,19,2,150.0,14.27,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,0,3,29.032,0.289755,0.641
105,3,34,109,41.15,2.99,42.2,41.8,0.1,151684.65,3.0,3,8960.0,93.33,21,2,100.0,41.15,4309.22,25.56,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,0,3,2380.468,23.805566,13.799
148,3,11,104,14.27,0.52,13.79,13.73,0.007,137895.14,6.0,0,1030.0,121.0,4,2,150.0,14.27,482.75,113.0,1.0,1.28384,31.3848,1520.1054,124.7905,28.4788,15.873,776.70522,24.0504,29.9814,14.43,98.3207,128.27392,0.284788,15.201,1.247905,0.313848,0.15873,7.767052,0.241,0.3,0.1443,0.983207,1.282739,0,3,2932.967,29.329836,5.044
167,2,22,99,8.74,0.73,16.1,15.43,0.178,448000.0,3.0,1,15000.0,70.0,14,2,50.0,8.74,13240.0,60.0,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,0,3,2380.468,23.805566,4.346
193,3,18,107,11.07,0.07,10.17,10.1,0.044,117900.34,6.0,2,414.0,121.0,19,2,50.0,11.07,410.0,121.0,1.0,0.012838,0.313848,15.201054,1.247905,0.284788,0.15873,7.767052,0.240504,0.299814,0.1443,0.983207,1.282739,0.002848,0.152,0.012479,0.003138,0.001587,0.077671,0.002,0.003,0.001443,0.009832,0.012827,0,3,29.032,0.289755,0.641
248,3,2,102,8.74,1.66,26.3,25.39,0.227,137895.14,3.0,3,8960.0,93.33,20,2,50.0,8.74,4309.22,25.56,1.0,1.292089,37.66176,781.054272,179.596082,37.789624,13.73736,1119.100365,1.362856,43.714002,10.339095,142.344565,0.001802,0.377896,7.811,1.795961,0.376618,0.137374,11.191004,0.014,0.437,0.103391,1.423446,1.8e-05,0,3,2380.468,23.805566,13.799
304,3,0,100,14.27,0.25,14.0,13.42,0.153,117900.34,6.0,2,414.0,121.0,19,2,150.0,14.27,345.0,60.0,1.0,1.235155,30.2224,153.1548,18.3427,21.5044,28.1385,30.95913,15.0315,0.5604,30.303,38.7992,1512.4432,0.215044,1.532,0.183427,0.302224,0.281385,0.309591,0.15,0.006,0.30303,0.387992,15.124432,0,3,2797.19,27.972157,2.909
